Experiment,Treatment,NMDS_1,NMDS_2,NMDS_3
CT1,C,-0.200420859,-0.314522731,0.092962494
CT1,C,-0.024440561,-0.053307086,-0.079768198
CT1,C,-0.501733499,0.005967495,0.326772917
CT1,C,-0.186193981,-0.186407262,0.138099531
CT1,C,-0.158822551,-0.206659943,0.191226868
CT1,C,-0.316304284,-0.422333847,0.057801676
CT1,C,-0.399168113,-0.323470568,0.033605458
CT1,F,-0.11088942,-0.112112029,0.031673848
CT1,F,-0.342891368,-0.361895938,-0.255963315
CT1,F,-0.1077244,-0.382712275,-0.315993848
CT1,F,-0.134324351,-0.267323876,-0.09144658
CT1,F,-0.080855208,-0.37804793,-0.126608608
CT1,F,-0.10362206,-0.360314867,-0.323821012
CT1,F,-0.144968369,-0.297269487,-0.380557692
CT1,C,-0.201121095,-0.131021945,-0.277120721
CT1,C,-0.277783859,-0.362946874,0.094219012
CT1,C,-0.285330754,-0.236066257,0.064152453
CT1,C,-0.098706482,-0.217272456,0.155216464
CT1,C,-0.140234591,-0.134903772,-0.065214753
CT1,C,-0.538817025,-0.099722017,0.210959539
CT1,C,-0.402554768,-0.265003811,0.145080226
CT2,C,-0.495908021,0.024364074,-0.220212059
CT2,C,0.12920342,0.307285502,-0.298963116
CT2,C,-0.68721031,0.193549896,-0.125880585
CT2,C,-0.417191894,-0.005930037,0.100488884
CT2,C,-0.447520537,0.206561359,-0.219784133
CT2,C,-0.454983385,0.076581003,-0.570544647
CT2,C,-0.425227756,0.187036868,-0.009339531
CT2,C,-0.457218338,0.237534587,-0.421094806
CT2,F,-0.424650704,0.700368066,-0.101192065
CT2,F,-0.211819857,-0.036419395,0.081732293
CT2,F,-0.060476945,0.302302069,0.088469885
CT2,F,-0.416443232,-0.051589919,0.394758417
CT2,F,-0.267282535,0.198632081,0.540089734
CT2,F,-0.606405778,-0.273234353,0.332098519
CT2,F,-0.006158602,0.564902097,-0.408459694
CT2,F,-0.501240212,0.093827921,0.07214739
CT2,C,-0.419381437,0.351177047,0.268522248
CT2,C,-0.426634185,0.339428121,-0.01713745
CT2,C,-0.452381782,0.363386603,-0.043539384
CT2,C,-0.148931625,0.54953599,0.141463044
CT2,C,-0.169324729,0.351911004,0.028944601
CT2,C,-0.352396039,0.122439236,0.057314012
CT2,C,-0.576135983,-0.068586701,-0.484102779
CT2,C,-0.223234953,-0.128125786,0.192022787
CT3,C,0.763076311,0.299153153,-0.121383346
CT3,C,0.303905638,0.246080464,-0.198958597
CT3,C,0.058441851,0.085470769,0.055139258
CT3,C,0.484868247,0.069686368,-0.060178544
CT3,C,0.736101521,0.16816578,-0.114872401
CT3,C,0.55923936,-0.005520651,0.49556913
CT3,F,0.33154539,0.145702575,-0.193698754
CT3,F,0.080613976,-0.202032913,-0.319601969
CT3,F,0.55476577,0.280190061,-0.335277216
CT3,F,0.219829316,-0.018573146,-0.229821695
CT3,F,0.290246493,0.175992651,-0.146109347
CT3,F,0.899457299,0.160824564,-0.088862679
CT3,C,0.267250605,-0.046039456,-0.449951858
CT3,C,0.428640608,0.190637601,-0.431764182
CT3,C,-0.019663852,0.196608785,-0.52279106
CT3,F,0.03699647,-0.297927693,-0.405123159
CT3,F,0.01054548,0.971687816,0.257936647
CT3,F,-0.159994942,0.060790795,-0.345412716
CT4,F,0.111250571,0.254312723,0.286047667
CT4,C,0.694087615,-0.218498181,0.034006251
CT4,F,0.248442178,-0.443011739,0.144666225
CT4,C,0.185206079,-0.272398019,0.160561692
CT4,C,0.223544232,-0.154612463,0.32603735
CT4,F,0.186223585,0.110941073,0.340278976
CT4,C,0.113245583,-0.03708028,0.147304479
CT4,F,-0.016538712,0.017721989,0.397048959
CT4,F,0.160477967,0.272972905,0.371659281
CT4,F,0.461762654,-0.091377064,-0.279307087
CT4,C,0.298014489,-0.071415066,0.389992105
CT4,C,0.32843204,-0.066128965,0.120205506
CT4,F,0.176097721,0.154619512,0.318263466
CT4,F,0.283964716,0.18333867,0.233140892
CT4,C,0.329036707,-0.136731988,-0.017252199
CT4,F,0.794737308,0.09179499,-0.102671624
CT4,C,0.367538483,-0.24155625,0.116790072
CT4,F,0.360393565,-0.251578035,0.253002644
CT4,C,0.42418036,-0.075306664,0.220696061
CT4,C,0.286308733,-0.012598167,0.29059219
CT4,F,0.465740066,-0.283127012,0.063324048
CT4,C,0.260139795,-0.164617358,-0.07917816
CT4,F,0.171220701,-0.348872264,-0.03194136
CT4,F,-0.076075858,0.151724151,0.342019953
CT4,C,0.309045247,-0.282682938,-0.282762652
CT4,C,0.090589969,-0.048524155,0.216016441
CT4,F,0.192931682,-0.017796786,0.173543991
